一	百
东徙西迁	安堵乐业
东扬西荡	安堵乐业
东扶西倒	挥洒自如
东抄西摘	刻意求新
东拉西扯	一气呵成 有条不紊 丝丝入扣
东拉西扯	断断续续
东摇西摆	稳如磐石
东方作曙	薄暮冥冥
东方发白	薄暮冥冥
东方既白	薄暮冥冥
东方欲晓	薄暮冥冥
东方泛白	薄暮冥冥
东窗事发	秘而不宣
东迁西徙	安堵乐业
东道主	宾客
东风化雨	暴风骤雨
东飘西荡	安堵乐业
东食西宿	背私为公
东鳞西爪	包罗万象
丝丝入扣	东拉西扯
丢	拾
丢三落四	一丝不苟
丢三落四	一丝不苟 谨小慎微
丢人现眼	一呜惊人 一鸣惊人
丢人现眼	脸上贴金
丢兵弃甲	百战百胜
丢失	拾到 找出 保存 寻找 寻得
丢弃	争取 拾取 保存 珍藏
丢掉	拾起 保管 捡到 保持
丢盔卸甲	横扫千军
丢盔弃甲	旗开得胜
丢盗弃甲	百战百胜
丢脸	争脸 争光 露脸
丢面子	爱面子
两两三三	人如潮涌
两全其美	面面俱到
两全其美	顾此失彼 两败俱伤 人财两空 自取灭亡 飞蛾赴火 玉石俱焚
两厢情愿	一相情愿
两回事	一回事
两手空空	捆载而归
两点论	一点论
两相情愿	一相情愿
两码事	一回事
两脚书橱	目不识丁
两袖清风	脑满肠肥
两袖清风	野心勃勃 宦囊饱满 监守自盗 贪求无厌 结党营私 阿党相为 贪得无厌 阿党比周 诛求无已 脑满肠肥 贪赃枉法 雁过拔毛
两败俱伤	两全其美
两面三刀	口是心非
严刑峻法	网开三面
严厉	宽容 和蔼 宽大 慈祥 慈爱 偏狭 平和 温和
严密	破绽 随便 松弛 疏漏 散漫 疏忽 马虎 疏松 松散
严寒	炎热
严寒	炽热 酷热 凉爽 阴凉 暖和 炎热 炎暑 酷暑 清凉
严寒	酷暑
严峻	和顺 温和 和气 和蔼
严峻	轻微
严惩	宽饶 宽容 宽待 宽恕 宽贷 宽宥 宽大
严惩不贷	姑息养奸
严惩不贷	姑息养奸 网开三面 包庇纵容 放任自流
严整	纷乱 散漫
严格	松懈 松弛 宽容 马虎 偏狭 放松 苟且
严正	纷乱 随便 姑息 歪邪
严肃	轻松 轻佻 随便 糜烂 胡闹 慈蔼 滑稽 活泼 随和 轻浮 诙谐 苟且
严肃不苟	放纵不羁
严肃认真	肤皮潦草
严词厉色	和颜悦色
严谨	破绽 随便 松散
严酷	仁惠 平和 温和
严重	平常 轻微 稍微 平淡
严重	轻微
严阵以待	毫不为备
严阵以待	麻痹大意 毫不为备 一张一弛 麻木不仁 出乎意外
丧	得
丧命	健在 获救
丧失	获得 恢复 失却 给予 破裂 失去 取得 保持 得回 断绝
丧心丧气	昂首阔步
丧服	吉服 喜服
丧权辱国	光宗耀祖
丧气	慰勉 鼓舞
丧气垂头	昂首阔步
丧魂落魄	镇静自若
丧魂落魄	镇静自若 若无其事 泰然自若
个人主义	集体主义
中	外 洋 西
中	西
中听	逆耳 难听
中和	外 洋 西
中国画	西洋画
中央	边际 角落 四周 周围 边缘 地方
中年	童年 老年 少年
中心	边缘 周围 基脚
中断	持续 陆续 休止 绵延 断续 连续 不停 一直 赓续 继续 延续
中止	不断 持续 继续 延续
中流砥柱	擎天柱石 独木难支 随波逐流
中的	外 洋 西
中立国	交战国
丰	歉
丰功伟绩	寥寥可数
丰取刻与	背私为公
丰容盛�	豹头环眼
丰富	贫乏 单调 缺乏 简单 匮乏
丰富多彩	千篇一律 寥寥无几 一星半点 微乎其微
丰富多采	千篇一律 寥寥无几 一星半点 微乎其微
丰年	凶年 歉岁 歉年 灾年 荒年
丰收	歉收
丰收	饥馑 减产 歉收
丰润	憔悴 干瘪 干瘦
丰满	干瘪
丰满	枯槁 憔悴 干瘪 枯瘦 干瘦
丰腴	清癯 苗条 瘦削 削瘦
丰衣美食	弊衣箪食
丰衣足食	民不聊生 挨冻受饿 嗷嗷待哺 卖儿鬻女 衣食不周 身无长物 家贫如洗 青黄不接 缺吃少穿 饔飧不继 啼饥号寒 衣衫褴褛 家徒四壁 短吃少穿 哀鸿遍野 等米下锅 饥肠辘辘 一贫如洗 贫病交加 饿殍遍野 嗷嗷待食 饥寒交迫 衣单食薄 卖男鬻女 一穷二白 两手空空
丰衣足食	缺吃少穿
串通一气	耻与为伍
临事而惧	暴虎冯河
临事谨饬	贸然行事
临危下石	成人之美
临危不屈	临危自悔
临危不惧	不可终日 惊惶失措 惶惶不可终日 如临大敌 贪生怕死 望风而逃 惊慌失措 不寒而栗 临阵脱逃
临危不惧	临阵脱逃
临危不挠	临危自悔
临危授命	草间活命
临危效命	临危自悔
临危自悔	临危不挠
临噎掘井	防患未然
临崖勒马	不能自拔
临敌卖阵	百战百胜
临时	常设 常久 褂讪 正式 经常 长期 永久
临时工	固定工
临机制变	胶柱鼓瑟
临机设变	胶柱鼓瑟
临深履薄	孟浪轻狂
临渊结网	防患未然
临渊羡鱼	退而结网
临渴掘井	未雨绸缪
临渴穿井	防患未然
临阵磨刀	磨砺以须
临阵磨枪	常备不懈
临阵磨枪	常备不懈 以防不测 未雨绸缪 有备无患 防患未然
临阵脱逃	临危不惧
临难不恐	临事而惧
临难不惧	临事而惧
临难不慑	临事而惧
临难无慑	临事而惧
临难苟免	袖手旁观
临难铸兵	防患未然
丹凤朝阳	怀才不遇
丹心耿耿	吃里爬外
丹心赤忱	吃里爬外
为仁不富	为富不仁
为富不仁	为仁不富
为所欲为	循规蹈矩
为所欲为	循规蹈矩 安分守己 力所不及 规行矩步 与世无争 安贫乐道
为期不远	指日可待
为期不远	遥遥无期 天荒地老
为民请命	依官仗势
为民请命	依官仗势 草菅人命
为民除害	疾恶如仇
为民除患	为虎添翼
为渊驱鱼	损人利己
为虎傅翼	捕蛇去齿
为难	愿意 乐意
为非作歹	奉公守法
为非作歹	循规蹈矩 安分守常 奉公守法 安分守己 谨言慎行 嘉言懿行 安分守纪 安份守己
主	仆
主	仆 从 奴 客 宾 次
主	客
主动性	被动性
主命攸关	不关宏旨
主干	枝叶 枝杈 枝桠
主权国	保护国
主次分明	本末倒置
主线	副线 支线
主要	次要 辅助 枝节 根本
主谋	胁从 帮凶
主食	副食 零食
丽	丑
举一反三	囫囵吞枣 生吞活剥 食古不化 不求甚解 浅尝辄止
举不胜举	寥寥无几
举世无敌	一触即溃
举世瞩目	默默无闻
举世知名	�世无闻
举世闻名	默默无闻
举十知九	鄙陋无知
举家食粥	百城南面
举手之劳	犬马之劳 难于登天
举手之劳	难于登天
举手可采	大海捞针
举手投足	九牛二虎之力
举措不定	操刀必割
举措不当	恰如其分
举措失当	举措必当
举措必当	举措失当
举枉错直	举直错枉
举棋不定	当机立断
举棋不定	破釜沉舟 毫不动摇 坚韧不拔 斩钉截铁 当机立断 孤注一掷 破釜焚舟 坚忍不拔 死心塌地
举棋若定	当机立断
举止失措	举止自若
举止自若	举止失措
举目无亲	亲密无间 形影相随
举直错枉	举枉错直
举行	取消 保留
举贤任能	任人唯亲
举足轻重	无足轻重
举足重轻	不关宏旨
举重若轻	心余力绌 力不从心 力不胜任 举轻若重
举隅反三	不求甚解
举鼎绝膑	拔山扛鼎
乃心王室	吃里爬外
久	暂
久别重逢	交臂失之
久居故里	人去楼空
久旱逢甘雨	大旱望云霓
久梦初醒	白日做梦
久盛不衰	风靡一时
久经世故	初出茅庐
久而久之	一朝一夕
久而久之	曾几何时 一朝一夕
久负盛名	录录无闻
义不容辞	临难苟免
义不苟取	见钱眼开
义务	权利 权力
义务兵	志愿兵
义师无扰	铁马横行
义形於色	不露声色
义无反顾	回心转意 瞻前顾后 畏首畏尾 畏缩不前
义无反顾	瞻前顾后
义无返顾	裹足不前
义正言辞	奇谈怪论
义正词严	入情入理
义正辞严	理屈辞穷
义重情深	无情无义
之乎者也	的了吗呢
之字路	直道
之死靡它	心猿意马
乌七八糟	夜不闭户 井然有序 井井有条
乌云密布	晴空万里
乌合之众	如鸟兽散
乌沉沉	亮晃晃
乌油油	白灿灿
乌洞洞	亮晃晃
乌烟瘴气	夜不闭户 明月清风 水木清华 一干二净
乌烟瘴气	水木清华
乌飞兔走	时光冉冉
乌黑	剔透 雪白
乏	有
乏味	风趣 醇厚 隽永 趣味 有趣 精彩
乐	哀 忧 悲 苦
乐	愁
乐不可支	悲不自胜
乐不可支	肝肠寸断 乐极哀来 叫苦连天 乐极生悲 乐极悲生 创巨痛深 哀感天地 痛不欲生 悲不自胜 创巨痛仍 乐极则悲 叫苦不迭
乐不思蜀	一刀两断 恋恋不舍 叶落归根 归心似箭 饮水思源 落叶归根 安不忘危
乐不思蜀	归心似箭
乐呵呵	气氛氛
乐善好施	巧取豪夺
乐园	愁城 苦河 苦海
乐在其中	百无聊赖
乐天安命	杞人忧天
乐天知命	怨天尤人
乐意	为难 勉强 拒绝
乐极忘形	呼天抢地
乐极生悲	否极泰来
乐此不疲	深以为苦
乐祸幸灾	悲天悯人
乐而忘忧	哀感天地
乐观	悲哀 厌世 悲观 消极 哀愁
乐观主义	悲现主义
乐道安贫	攀龙附凤
乐陶陶	笑嘻嘻
乐颠颠	怒冲冲
乐颠颠	悲切切
乔装打扮	本来面目
乖	闹
乖唇蜜舌	恶言恶语
乖巧	顽皮 听话 蠢笨 愚拙 笨拙
乖巧伶俐	呆头呆脑
乖觉	愚蠢 愚笨 迟钝
乘	除
乘人之危	成人之美
乘人之危	济困扶危 雪中送炭 助人为乐 无隙可乘 成人之美 普渡众生 无懈可击
乘人之厄	拔刀相助
乘兴而来	败兴而归
乘坚策肥	安步当车
乘坚驱良	安步当车
乘机应变	胶柱鼓瑟
乘机而入	无机可乘
乘火打劫	拔刀相助
乘肥衣轻	敝裘羸马
乘虚而入	无懈可击 无隙可乘 坐失良机
乘虚而入	无�可乘
乘虚蹈隙	无机可乘
乘隙而入	无机可乘
乘风破浪	裹足不前
乘风破浪	裹足不前 垂头丧气
乘龙佳婿	遇人不淑
乘龙快婿	遇人不淑
九世之仇	大恩大德
九天九地	半斤八两
九死一生	安然无事
九泉瞑目	死不闭目
九牛一毛	寥寥可数
九牛二虎之力	举手投足
九霄云外	无介於怀
九霄云外	近在眼前 耿耿于怀 近在咫尺
九鼎大吕	盈千累万
乞	赐
乞怜摇尾	昂首天外
乞求	施舍 恩赐 赐予
乞浆得酒	借贷无门
习为故常	百年不遇
习以为常	大惊小怪
习以为常	少见多怪 与众不同 千岁一时 闻所未闻 触目惊心 千载一日 惊心动魄 旷古未有 闻所不闻 怵目惊心 见所未见 千载难遇 千载一时 千载难逢
习常见惯	百年不遇
习性	共性 缺陷 缺欠 短处 劣点 毛病 通性 缺点
习故守常	改弦易辙
乡	城
乡下	城市 都市
乡村	城市 都市
书剑飘零	衣冠鼎盛
书功竹帛	不见经传
书富五车	鄙陋无知
书来信往	不相闻问
书空咄咄	得意洋洋
书谈五车	鄙陋无知
书通二酉	鄙陋无知
书面	口头 思想
书面语	口头语
书面语	口头语 口语
书香门第	蓬门荜户
买	卖
买空卖空	童叟无欺
乱	治
乱七八糟	井井有条
乱七八糟	井井有条 有条有理 头头是道 井然有序 一尘不染 有条不紊 清清楚楚 井井有理 分门别类 有板有眼 整整齐齐 整齐划一
乱世	太平 明世 治世 盛世
乱哄哄	静悄悄
乱成一团	丝丝入扣
乱无章	错落有致
乱点鸳鸯	天作之合
乱糟糟	齐刷刷
乱纷纷	齐刷刷
乱腾腾	齐刷刷
乱臣贼子	忠君爱国
乱蓬蓬	齐刷刷
乱麻麻	齐刷刷
乳名	大名 学名
乳臭未乾	後生可畏
乳臭未除	后生可畏
乾	坤
乾净俐落	拖泥带水
乾巴巴	湿漉漉
乾脆俐落	乾净俐落
了不可见	了然可见
了不相关	声气相通
了不相属	声气相通
了不相干	声气相通
了了可见	了不可见
了如指掌	一无所知
了如指掌	心中无数 不得要领 一脸茫然 一团漆黑 一无所知 疑团莫释 不甚了了 摸不着头脑 似懂非懂 不得而知 不知所以
了无惧色	杯弓蛇影
了无牵挂	割肚牵肠
了无生机	生意盎然
了无遽容	杯弓蛇影
了然可见	了不可见
了若指掌	不大了然
予	取 夺
予	受
争	让
争先恐后	姗姗来迟
争先恐后	缓不济急 踌躇不前 姗姗来迟 慢条斯理 畏缩不前 蜗行牛步 珊珊来迟
争光	丢脸 丢丑 出丑 抹黑
争取	放弃 丢弃 摈弃
争名于朝，争利于市	不求有功，但求无过
争吵	和好 和睦 商量
争夺	礼让 谦让
争执	和解 谦让 融洽 和睦 商量
争持	和解 谦让
争权夺利	和平共处 退避三舍 淡泊明志 明哲保身
争权夺利	淡泊明志
争长论短	甘拜下风
争面子	丢面子
争风吃醋	见贤思齐
事不宜迟	来日方长
事与心违	趁心如意
事与愿违	天从人愿 如愿以偿 吉祥如意 得心应手 万事亨通 称心如意 差强人意 从心所欲 径情直遂 称心满意
事与愿违	如愿以偿
事事棘手	左支右绌
事倍功半	事半功倍
事先	当时 事后
事先请示	先斩后奏
事关全局	无关痛痒
事出无因	事出有因
事出有因	平白无故
事半功倍	事倍功半
事半功倍	得不偿失 舍近求远 冷灰爆豆 事倍功半 剜肉补疮 劳而少功 劳民伤财
事后	预先 事前 事先 当时
事在人为	成事在天
事在人为	死生有命 无能为力 成事在天 自然而然 听天由命
事实	神话 虚幻 虚构 空言 传奇 假想 梦想 理论 虚伪
事实审	法律审
事必三思	不加思索
事必躬亲	无所用心
事败垂成	大功毕成
事过境迁	即景生情
事过境迁	记忆犹新 一成不变 即景生情
二三其德	见异思迁
二三其意	柏舟之节
二八年华	迟暮之年
二意三心	全心全意
二旬九食	鼎食钟鸣
二百五	聪明人
二缶钟惑	白黑分明
二酉才高	鄙陋无知
于心有愧	扪心无愧
亏	盈
亏折一空	获利倍�
亏损	嬴余 盈利 余盈 盈余
亏本	盈利 赢利 赚钱
亏欠	积蓄 盈余
亏空	节余 积蓄 盈利 盈余 结余
云合雾散	如鸟兽散
云散烟消	雪泥鸿爪
云泥之别	大同小异
云泥有别	寡不敌众
云笼雾锁	云消雾散
云英未嫁	罗敷有夫
云蒸霞蔚	暗淡无光
云蒸霞蔚	漆黑一团 暗淡无光
云集	星散 云散
互不相干	遥遥相对
互为表里	行同陌路
互相为谋	不相为谋
互相倾轧	通力合作
互相配合	各不相谋
五世同堂	俪影双双
五世同堂	形单影只 鳏寡孤惸 鳏寡孤独
五代同堂	俪影双双
五体投地	不以为然 嗤之以鼻
五光十色	色彩单一
五内俱焚	心花怒放
五内如焚	心花怒放
五湖四海	方寸之地
五短身材	彪形大汉
五花八门	变化多端
五谷不升	年谷顺成
五谷丰登	凶年饥岁
五谷丰登	颗粒无收 凶年饥岁
五颜六色	一清二白 灰不溜秋 色彩单一 色彩暗淡
五颜六色	色彩单一
五黄六月	十冬腊月
井井有序	颠三倒四
井井有条	杂乱无章
井井有理	乱七八糟
井市之徒	彬彬君子
井市庸愚	彬彬君子
井底之蛙	智周万物 绝代天骄 见多识广
井底之蛙	见多识广
井浅河深	门当户对
井然不紊	错落不齐
井然有序	杂乱无章
井然有序	颠三倒四 语无伦次 一塌糊涂 狼奔豕突 乌七八糟 参差不齐 乱七八遭 横三顺四 错综复杂 七颠八倒 乱七八糟 杂乱无章 杯盘狼藉
井臼亲操	废寝忘食
井臼躬操	饱食终日
井蛙之见	博古通今
亘古不变	瞬息万变
亡	兴 存 殁
亡	存
亡命之徒	善良之辈
亡国之音	哀而不伤
亡国破家	国泰民安
亡国败家	国泰民安
